feature,shap_importance
EXT_SOURCE_3,0.41637456
EXT_SOURCE_2,0.36319837
AMT_GOODS_PRICE,0.19927138
CODE_GENDER,0.15796053
AMT_CREDIT,0.14111958
NAME_EDUCATION_TYPE,0.13031682
DAYS_EMPLOYED,0.12310566
DAYS_BIRTH,0.11760551
FLAG_OWN_CAR,0.09807654
AMT_ANNUITY,0.09400025
DAYS_ID_PUBLISH,0.076796606
NAME_CONTRACT_TYPE,0.060770627
NAME_FAMILY_STATUS,0.053861026
NAME_INCOME_TYPE,0.04580821
DAYS_LAST_PHONE_CHANGE,0.04049494
ORGANIZATION_TYPE,0.03381271
REGION_RATING_CLIENT_W_CITY,0.03374525
OCCUPATION_TYPE,0.0330495
AMT_REQ_CREDIT_BUREAU_QRT,0.0329744
AMT_REQ_CREDIT_BUREAU_YEAR,0.029009804
DEF_60_CNT_SOCIAL_CIRCLE,0.024329446
FLAG_WORK_PHONE,0.023909293
WEEKDAY_APPR_PROCESS_START,0.022561438
DAYS_REGISTRATION,0.022325218
AMT_INCOME_TOTAL,0.02184462
REGION_POPULATION_RELATIVE,0.020016296
YEARS_BEGINEXPLUATATION_MODE,0.017975153
DEF_30_CNT_SOCIAL_CIRCLE,0.016818698
HOUR_APPR_PROCESS_START,0.015909292
REG_CITY_NOT_LIVE_CITY,0.015764035
FLAG_PHONE,0.015665896
EMERGENCYSTATE_MODE,0.011906746
FLAG_OWN_REALTY,0.0110629955
TOTALAREA_MODE,0.009865628
FLOORSMAX_MEDI,0.009755338
FLOORSMAX_AVG,0.00959669
NAME_HOUSING_TYPE,0.00847549
AMT_REQ_CREDIT_BUREAU_MON,0.0075417883
YEARS_BEGINEXPLUATATION_MEDI,0.007086565
CNT_FAM_MEMBERS,0.0063373465
OBS_30_CNT_SOCIAL_CIRCLE,0.0061162515
NAME_TYPE_SUITE,0.005150393
OBS_60_CNT_SOCIAL_CIRCLE,0.005094922
YEARS_BEGINEXPLUATATION_AVG,0.0049388004
REGION_RATING_CLIENT,0.004880422
REG_CITY_NOT_WORK_CITY,0.004008711
FLAG_EMP_PHONE,0.0038021374
CNT_CHILDREN,0.0027438723
LIVE_REGION_NOT_WORK_REGION,0.0020937664
AMT_REQ_CREDIT_BUREAU_WEEK,0.0012284601
LIVE_CITY_NOT_WORK_CITY,0.001188005
REG_REGION_NOT_LIVE_REGION,0.0011481665
FLOORSMAX_MODE,0.0010946054
FLAG_EMAIL,0.0010457375
AMT_REQ_CREDIT_BUREAU_DAY,0.00040964634
REG_REGION_NOT_WORK_REGION,0.00032072252
FLAG_CONT_MOBILE,9.033975e-05
AMT_REQ_CREDIT_BUREAU_HOUR,1.37216175e-05
FLAG_MOBIL,0.0
